word	sent1	sent2	id	pos1	pos2	grp	scores	tag
машина	На Марию Египетскую шел это я ночью по Гороховой из гостей, кума была именинница и засиделись за стуколкой, так такую, братец ты мой, машину на двенадцати конях по улице везли, что даже страшно.	Постепенно перераспределяя мощность на пропеллеры, пилот переводил машину в горизонтальный полет.	train.scd_1_1.tsv.27	(134, 140)	(67, 73)	COMPARE	0.51915063	F
машина	Тут всякий герой; течение и ход пьесы производит потрясение всей машины: ни одно колесо не должно оставаться, как ржавое и не входящее в дело.	На подъеме машина вязла в снегу, буксовала, шла тычками, пассажиров то и дело сшибало и валило друг на друга.	train.scd_1_1.tsv.28	(65, 71)	(11, 17)	COMPARE	0.9999977	T
машина	Палка, брошенная им, гудела, как машина, как-то кружась в воздухе, а достигнув земли, она со скребом взрывала почву.	Притворившись, будто не замечает нового шофера Штейнглица, осмотрел машину, вычистил сиденья.	train.scd_1_1.tsv.29	(33, 39)	(68, 74)	COMPARE	0.99999685	T
машина	-- А что вы думаете: ведь в этом много правды! несомненно, что тогда административная машина упростилась бы чрезвычайно.	Знакомые археологи с восторгом рассказывали Тулину, как Богдановский щедро давал им машины, людей через свои геологические экспедиции.	train.scd_1_1.tsv.30	(86, 92)	(84, 90)	COMPARE	5.09179065e-06	F
машина	Все оные машины собственные были Блаженныя и Вечнодостоиныя Памяти Императора Петра Великаго.	Транспортные машины и повозки, вводимые в прорыв в первые дни боя, снабжаются специальными пропусками.	train.scd_1_1.tsv.31	(9, 15)	(13, 19)	COMPARE	0.99999262	T
машина	В этих случаях происходит очень значительное разделение труда, которое низводит самку до степени машины для кладки яиц.	-- Я что в армии освоил, -- сказал дядя Федя, -- я машину прилично освоил.	train.scd_1_1.tsv.32	(97, 103)	(51, 57)	COMPARE	0.0002398075385	F
машина	Все сии машины части утвержены на крепко сплоченных досках, стоящих на четырех колесах, для того чтобы машину с одного места на другое свободно перетянуть можно было.	Браславский, сторонясь, шагнул в снег, машина обдала его теплом и запахом хлеба.	train.scd_1_1.tsv.33	(103, 109)	(39, 45)	COMPARE	0.99928325	T
машина	70. Семьдесятая машина есть пружина, в трубу вделанная, на что кареты навешивают, изобретена от господина Томаса, 1703.	При потере скорости машина сама опускала нос и вновь разгонялась.	train.scd_1_1.tsv.34	(16, 22)	(20, 26)	COMPARE	0.348774985	F
машина	Тяжелое чудовище летело совсем близко, высоко задрав свои могучие борты, и гул машины явственно отдался в ушах беглецов, обдав их запахом пара и перегорелого масла.	"Проложенные бригадой Репнина, неустоявшиеся ""молодые"" дороги дрожали под тяжестью груженных зерном машин. Кипение дела чувствовалось везде и во всем."	train.scd_1_1.tsv.35	(79, 85)	(99, 104)	COMPARE	0.999998375	T
машина	"Эти открытия и дали ему возможность изумлять осаждавших Сиракузы римлян все новыми и новыми ""машинами""."	На ночлеге он отвел машину, сунул в карман ключ, дошел до избы -- и тут же свалился.	train.scd_1_1.tsv.36	(93, 101)	(20, 26)	COMPARE	4.08162785e-05	F
машина	Потом с брезгливым чувством взглянул на свою машину, на мрачный остов исполинской летучей мыши.	Немцы бежали, побросав пушки, машины, всякие припасы, перестреляв коней.	train.scd_1_1.tsv.37	(45, 51)	(30, 36)	COMPARE	0.9997673300000001	T
машина	-- Да-с, это точно, что больше, только вот кричит здешняя-то машина нескладно: точно как волком воет.	"Сейчас две ""машины климата"", установленные в термическом цехе, обслуживают рабочих четырех газовых печей."	train.scd_1_1.tsv.38	(61, 67)	(12, 18)	COMPARE	4.4822970500000004e-05	F
машина	Старец имел вола, которого труд состоял единственно в том, что он приводил в движение машину из колес, поднимавшую воду вверх, потому что колодезь, сказывали, имел более тысячи футов глубины.	Бывает, правда, машина подъедет, а грузчиков нет, сама, как проститутка, мешки на себе таскаешь.	train.scd_1_1.tsv.39	(86, 92)	(16, 22)	COMPARE	0.9999876000000001	T
машина	Дальнейшее развитие вопроса показало, однако, что и головной мозг при известных условиях (следовательно, не всегда) может действовать, как машина, и что тогда деятельность его выражается, так называемыми, невольными движениями.	В одной из машин сидел мой веселый друг Ваня Зуев. * * * Вспомнил я и самую последнюю, совсем случайную встречу нашу с Иваном Зуевым уже в Москве.	train.scd_1_1.tsv.40	(139, 145)	(11, 16)	COMPARE	5.7496745000000004e-06	F
машина	-- Нельзя, капитан, -- ответил, не отрываясь от бумаги, писец, -- машина станет! списки герцога Экмюльского.	Не секрет, что подчас наши машины уступают еще некоторым лучшим зарубежным образцам.	train.scd_1_1.tsv.41	(66, 72)	(27, 33)	COMPARE	9.20197375e-05	F
машина	Въ это время изъ машины показывается чудомъ оставшйся не только въ живыхъ, но и не раненымъ машинистъ Василй Новиковъ.	С обледенелого мостика через реку Усманку между Новой Усманью и Рогачевкой машина упала в речной овраг.	train.scd_1_1.tsv.42	(17, 23)	(75, 81)	COMPARE	0.99999715	T
машина	Около машины неподвижно стояла какая-то девочка, загорелая, со щеками пухлыми, как у Тита, и в чистеньком ситцевом платьице.	Бесконечной вереницей идут по подмосковному шоссе машины, свет фар пробегает по дощатому потолку.	train.scd_1_1.tsv.43	(6, 12)	(50, 56)	COMPARE	0.99999815	T
машина	Вообще при этом министре водворились внешние займы, весьма обременительные для наших финансов, и низкие таможенные пошлины, особенно на привозное железо и машины; такие пошлины препятствовали развитию отечественного производства.	Артем только машину купил, а владелец гаража полковник-отставник по состоянию здоровья, ну...	train.scd_1_1.tsv.44	(155, 161)	(13, 19)	COMPARE	0.99999555	T
машина	"Стало рано темнеть, и в усадьбе говорили: ""Как поздно машина-то теперь проходит!"" -- хотя расписание поездов ничуть не изменилось."	"Его ""МАЗ"" был единственной машиной, которая в этот час въезжала в карьер."	train.scd_1_1.tsv.45	(54, 60)	(27, 34)	COMPARE	0.99105098	T
машина	Отливка домов машинами На днях из Нью-Йорка в Петербург прибыли два инженера, А.С. Поликин и В.П. Винокур, последние годы пребывания в Америке посвятившие практическому изучению изобретений великого Эдисона.	"К концу жизни он организовал издание труда ""Теория, конструкция и производство сельскохозяйственных машин"" и был его редактором."	train.scd_1_1.tsv.46	(14, 22)	(100, 105)	COMPARE	0.99999499	T
машина	Да и расчета нет делать это при существующей дешевизне труда и обилии земли, никакие машины не дают тех выгод, какие дает самое примитивное приложение труда к свежим землям, которых не оберешься.	Но этому сильно препятствует переувлажнение почв, требующее создания машин повышенной проходимости.	train.scd_1_1.tsv.47	(85, 91)	(69, 74)	COMPARE	0.9999947650000001	T
машина	Так вот, доктор, в такую-то погоду мы, как образно выражается почтенный Степан Ильич, жарили самым полным ходом, какой только мог дать влюбленный в свою машину Игнатий Николаевич.	Через минуту он сел в машину, и она тихо скользнула мимо дома.	train.scd_1_1.tsv.48	(153, 159)	(22, 28)	COMPARE	0.002405659785	F
машина	Основную часть машины составлял вертикальный металлический цилиндр трех метров вышины и полметра в диаметре, сделанный, как мне объяснил Мэнни, из осмия -- очень тугоплавкого, благородного металла, родственного платине.	В машине на ходу мы могли лишь бегло обменяться мыслями о будущем фильме.	train.scd_1_1.tsv.49	(15, 21)	(2, 8)	COMPARE	9.137914e-05	F
машина	Сим случаем дерзнул я паче достоинства моего трудить его величество моим письмом, донести о здешнем канале и зделанных машинах воденых, которое слыша и видя, не смел оставить не донесши.	"Типичный представитель этого семейства -- работяга Ан-2, основная машина советской ""агроавиации""."	train.scd_1_1.tsv.50	(119, 126)	(66, 72)	COMPARE	0.9972799	T
машина	Тиран, дабы изведать на самом опыте своейство сей машины, приказал прежде всех поместить самого мастера в этого быка.	Он хотел выяснить до конца, какими путями можно хорошую машину сделать еще лучше, а плохую превратить в хорошую.	train.scd_1_1.tsv.51	(50, 56)	(56, 62)	COMPARE	0.9999878149999999	T
машина	Были кое-какие намеки в письме и на порчу машин и какое-то смутное упоминание о солидарности управляющего с рабочей средою фабрики.	В дальнейшем наряду с более мощными машинами традиционных конструкций будут создаваться могучие агрегаты принципиально новых конструктивных схем.	train.scd_1_1.tsv.52	(42, 47)	(36, 44)	COMPARE	0.999996	T
машина	-- Беглые же попадаются и теперь Видите ли вы их тут иногда хоть в церкви Ведь это было прежде одно средство спастись: это был предохранительный клапан для былой машины вашей.	"На следующей год правительство поручило ""Рязсельмашу"" изготовить 4000 машин М-2 и 2000 ""Пионеров""."	train.scd_1_1.tsv.53	(162, 168)	(70, 75)	COMPARE	0.00031036797	F
машина	Вода или выкачивается из рудников посредством особых водоотливных машин, или отводится в нарочно устроенные для этого протоки.	Большая тень облака с хлебов сползла на дорогу, краем своим накрыла рощу, машина быстро нагоняла ее.	train.scd_1_1.tsv.54	(66, 71)	(74, 80)	COMPARE	0.999995915	T
машина	Восмьдесят четвертая машина есть инструмент, которым горизонтальную линею узнать можно, изобретена от господина Версюса, 1704 года.	Нам нужно ввозить сельскохозяйственные машины, тракторы, запасные части к ним.	train.scd_1_1.tsv.55	(21, 27)	(39, 45)	COMPARE	0.999995	T
машина	В Лондоне вместо подъемных машин появились подъемные лестницы, двигающиеся в одну сторону, вверх, вместе с перильцами. неизвестный.	С двух сторон невидимой машины возятся Чудаков и Фоскин, Велосипедкин и Двойкин.	train.scd_1_1.tsv.56	(27, 32)	(24, 30)	COMPARE	0.9999060150000001	T
машина	Спалить хочешь все обзаведение Мельница давно уже не справлялась с работой, и Галактион несколько раз поднимал вопрос о паровой машине, но старик и слышать ничего не хотел, ссылаясь на страх пожара.	Отправились в Переделкино на двух машинах, в одной из них ехал Поликарпов, зав. отделом ЦК, в другой -- Ивинская с дочерью Ирой.	train.scd_1_1.tsv.57	(128, 134)	(34, 41)	COMPARE	2.035757e-05	F
машина	В больших американских и европейских гостиницах уже входит в употребление такая машина для чистки сапог, и эта машина распространяется и помимо гостиниц.	Они сразу могли бы взяться за починку машины, -- сказала Синеглазка.	train.scd_1_1.tsv.58	(80, 86)	(38, 44)	COMPARE	0.999992365	T
машина	Удивительные машины, непонятные автоматы, блестящие физические опыты занимали прежде всего посетителей.	С рассветом они двинулись в сторону города Белого, а по шоссейной дороге, за деревней, идут и идут машины в том же направлении.	train.scd_1_1.tsv.59	(13, 19)	(99, 105)	COMPARE	0.40124035963	F
машина	-- Двадцать пять рублев денег имел, да на серскасельской машине украли и мешок и деньги, -- я там жил, значит.	Через год к ней зашел молодой военный и сказал, что он папин шофер и был с папой и мамой, когда их машина нарвалась на фашистскую засаду.	train.scd_1_1.tsv.60	(57, 63)	(99, 105)	COMPARE	0.999987375	T
машина	"Мстиславец стоял на труде изорванных книг, на обломках печатной машины и плакал, прижимая к груди несколько книг, спасенных от разгрома: ""Деяния апостольские"", ""Послания апостола Павла"" и только что отпечатанный ""Часовник""."	В два часа остановил машину, распахнул дверцу, объявил: -- Господин Клюге, время вашего пользования машиной кончилось.	train.scd_1_1.tsv.61	(64, 70)	(21, 27)	COMPARE	0.99907502	T
машина	Конечно, на другой же день -- движения и людей оказалось больше, но свист и грохот машин все-таки господствующие звуки.	Сильный рывок машины подбросил его -- он больно стукнулся головой о крышу машины.	train.scd_1_1.tsv.62	(83, 88)	(14, 20)	COMPARE	0.999998825	T
машина	Я бросился к своему автомобилю, но к ужасу увидел, что машина, работая на холостом ходу, стоит, врезавшись передними колесами в пахоть.	Но одна из трех машин и после этого продолжала некоторое время работать, разрывая попадавших в нее людей на части.	train.scd_1_1.tsv.63	(55, 61)	(16, 21)	COMPARE	0.999997925	T
машина	Бахарев оживился и давал самые подробные объяснения новой, только что поставленной катальной машины, у которой стальные валы были заточены самым необыкновенным образом.	Давыдов очнулся, вылез из машины, увидев спешившего к нему Старожилова.	train.scd_1_1.tsv.64	(93, 99)	(26, 32)	COMPARE	0.14583891525	F
машина	На сей конец для каждой машины взято с одной десятины ржи сырой по одной копне в 52 снопа небольшой вязки.	Но машина не пришла, поэтому таскали в мешке на спине через площадь из вымороченной комнаты Е.	train.scd_1_1.tsv.65	(24, 30)	(3, 9)	COMPARE	0.121795841	F
машина	"Мужик, неизвестно зачем приходивший на станцию, долго стоял на песке и думал: ""Вот уйдет машина, пойду и я помаленьку."	Трос натянулся, зазвенел, и затонувшая банкинская машина, ломая лед и взбаламучивая грязь со дна, поползла к берегу.	train.scd_1_1.tsv.66	(89, 95)	(50, 56)	COMPARE	0.9999806849999999	T
машина	Сей день прибыл суда механик, которой делал машину под водою ходить и, сказывают, что совсем совершенную зделал.	"Правда, машина ""по инерции"" еще приходила, Пиманкин и Саша возили меня по городу и на дачу, но с 16.IX. я от этого отказался, рассчитавшись с Пиманкиным."	train.scd_1_1.tsv.67	(44, 50)	(8, 14)	COMPARE	0.999995	T
машина	Для этого недостаточно знать строение и функции человеческой машины: надо еще иметь точные сведения об общественной жизни человека.	Саня затянулся, обжег губы и опять рассеянно спросил: -- Что же делать-то теперь, а Если взорвется машина, нам всем.	train.scd_1_1.tsv.68	(61, 67)	(99, 105)	COMPARE	0.0013251636525	F
машина	"Еще же более потому, что оно действительно не хочет ни свободы, ни просвещения, ни возвышения русского народа, видя в нем только бездушную машину для завоеваний в Европе""!"	По шоссе время от времени проезжали машины, груженные боеприпасами, ящиками и мешками с продуктами.	train.scd_1_1.tsv.69	(139, 145)	(36, 42)	COMPARE	2.7983723e-05	F
машина	Что делалось в машине, как прибывала вода, не проверено его показаниями, а между тем он, несомненно, должен был иметь об этом самые точные сведения.	Сзади из-за машины вышел огромный верзила с куском фанеры, используемой вместо лопаты.	train.scd_1_1.tsv.70	(15, 21)	(12, 18)	COMPARE	0.99999283	T
машина	Фокс не разумел его, и Бонапарте, два раза повторив вопрос, сказал, что он говорит об адской машине, которою хотели умертвить его.	-- Но как снять зверей в саванне В джунглях Вот так, рядом с машиной ...Мы едем по стране.	train.scd_1_1.tsv.71	(93, 99)	(61, 68)	COMPARE	0.00042416483	F
машина	Оно представляет нам именно ту машину, которую обещают в будущем Мушо и Эриксон, -- машину, действующую даровой силой солнца.	Когда назвали имя пьяного в машине, Слава сказала, что тот просил не отмечать его отсутствие, так как ждет авторемонтную службу.	train.scd_1_1.tsv.72	(31, 37)	(28, 34)	COMPARE	0.547419517	F
машина	Не отрываясь от телефонной трубки, Рестуччи повторял его приказания спокойно и повелительно, и казалось, что паром, лебедка и все машины приводились в движение волей невидимого, таинственного подводного человека.	Соскочив с машины, альпинисты вышли на берег, где их окружил все пронизывающий, яркий голубой цвет.	train.scd_1_1.tsv.73	(130, 136)	(11, 17)	COMPARE	0.99999595	T
машина	Двадцать шесть и одна Нас было двадцать шесть человек -- двадцать шесть живых машин, запертых в сыром подвале, где мы с утра до вечера месили тесто, делая крендели и сушки.	Всюду по лесу и вокруг него зияли воронки, виднелись остовы сгоревших машин, валялись вздутые трупы лошадей, тележные оси да колеса.	train.scd_1_1.tsv.74	(78, 83)	(70, 75)	COMPARE	0.999997625	T
машина	Живет от машины неподалеку, и в тот же день вместе с ним к Дрябиным ездила, а вчерашний день, в пятницу сиречь, к Громовым на дачу ездила.	-- И он лихо подавал вперед рычаг скоростей, как будто непосредственно этим движением толкал машину вперед.	train.scd_1_1.tsv.75	(9, 15)	(93, 99)	COMPARE	0.000123212331	F
машина	И эти машины сами будут скидывать и надевать шпули, другие -- без лошади ездить зимой и летом.	--Брось, -- разжав, наконец, губы, недовольно сказал второй,-- всю машину завоняешь.	train.scd_1_1.tsv.76	(6, 12)	(67, 73)	COMPARE	0.999423385	T
машина	Если последнюю переставить на другое место, то и больной, прислушивающийся к звуку электрической машины, будет слышать свои голоса из того пункта, куда переставлена машина.	На высоком постаменте, в котором угадываются детали какой-то машины, -- работный человек.	train.scd_1_1.tsv.77	(97, 103)	(61, 67)	COMPARE	0.9999881	T
машина	Вчера получил я от Полгейма последнее решение к договору о машинах, в котором представляет, чтоб прежде готово зделанныя у него купить.	Мчалась машина, жаркий ветер дул навстречу и шевелил волосы, в прорывах гор мелькало лазурное море.	train.scd_1_1.tsv.78	(59, 66)	(8, 14)	COMPARE	0.919548375	T
машина	Того ради покорно вас, моего государя, прошу оное письмо и приложенное при сем машины описание (которое по заключении того письма получил) при удобном времяни представить е. в.	Из множества всевозможных вариантов машина выбрала тог, который вы видите на схемах.	train.scd_1_1.tsv.79	(79, 85)	(36, 42)	COMPARE	0.999995475	T
машина	Сейчас же после остановки машины, приводящей в ход мастерские, останавливалась электрическая машина для смазки.	Мы с дочкой однажды чуть не попали под машину, переходя улицу по всем правилам.	train.scd_1_1.tsv.80	(93, 99)	(39, 45)	COMPARE	0.97987702	T
машина	И тут же эта адская машина -- ящичек какой-то из-под стеариновых свечей, скобочки ни к чему не нужные, винты, гайки, -- подлинная!	И страшновато, и красиво -- я смотрел то на рыжего, то на машину впереди.	train.scd_1_1.tsv.81	(20, 26)	(58, 64)	COMPARE	0.0078751855	F
машина	Часто он совершенно забывался, сидя где-нибудь у машины и прислушиваясь к глухой работе и тяжелым вздохам шахты.	Прочел передовую Там было указано, что полк Клещева сбил 90 машин и потерял две.	train.scd_1_1.tsv.82	(49, 55)	(60, 65)	COMPARE	0.99864332	T
машина	Сию машину можно употребить так, как обыкновенный ворот, ежели из колеса один зуб вынят будет, чрез что чинится, что вьюшка больше за оное колесо захватывает и канат на валу вьюшки обвивается.	"""Видно, машинам иногда надоедает быть машинами и они хотят показать, что они не машины"", -- заметила жена, защищаясь."	train.scd_1_1.tsv.83	(4, 10)	(38, 46)	COMPARE	0.00028365262000000003	F
машина	Изобретенная машина, заменяя лошадей и волов при сельско-хозяйственных работах, будет прицепляться к повозкам, плугам и т. д.	Я видел, что за рулем машины женщина, и легко мог переехать через кювет и подождать, пока вы проедете.	train.scd_1_1.tsv.84	(13, 19)	(22, 28)	COMPARE	0.9999967000000001	T
