id	tag	score
training.scd.485	F	2.8
training.scd.486	T	3.4
training.scd.487	T	3.8
training.scd.488	T	3.6
training.scd.489	T	3.8
training.scd.490	T	4.0
training.scd.491	F	2.8
training.scd.492	T	3.4
training.scd.493	F	2.8
training.scd.494	T	4.0
training.scd.495	T	3.6
training.scd.496	T	3.0
training.scd.497	T	3.0
training.scd.498	T	3.8
training.scd.499	T	3.2
training.scd.500	T	3.6
training.scd.501	F	2.4
training.scd.502	T	3.6
training.scd.503	T	3.2
training.scd.504	T	3.4
training.scd.505	T	3.0
training.scd.506	T	3.4
training.scd.507	T	3.4
training.scd.508	F	2.6
training.scd.509	T	4.0
training.scd.510	T	3.8
training.scd.511	T	3.2
training.scd.512	F	2.8
training.scd.513	T	3.4
training.scd.514	T	3.4
training.scd.515	F	2.8
training.scd.516	T	3.6
training.scd.517	T	3.6
training.scd.518	T	3.6
training.scd.519	F	1.8
training.scd.520	T	3.6
training.scd.521	T	3.8
training.scd.522	T	4.0
training.scd.523	T	3.8
training.scd.524	T	4.0
training.scd.525	T	4.0
training.scd.526	T	3.6
training.scd.527	T	4.0
training.scd.528	T	3.4
training.scd.529	T	3.0
training.scd.530	T	3.4
training.scd.531	T	3.2
training.scd.532	T	3.8
training.scd.533	T	3.2
training.scd.534	T	3.6
training.scd.535	T	4.0
training.scd.536	T	4.0
training.scd.537	T	3.8
training.scd.538	T	4.0
training.scd.539	T	3.8
training.scd.540	T	3.8
training.scd.541	T	3.6
training.scd.542	T	4.0
training.scd.543	T	3.6
training.scd.544	T	3.8
training.scd.545	T	3.6
training.scd.546	T	3.8
training.scd.547	T	4.0
training.scd.548	T	3.4
training.scd.549	T	3.4
training.scd.550	T	3.0
training.scd.551	T	3.6
training.scd.552	T	3.6
training.scd.553	T	3.8
training.scd.554	T	3.4
training.scd.555	T	3.8
training.scd.556	T	4.0
training.scd.557	T	4.0
training.scd.558	T	3.6
training.scd.559	T	3.6
training.scd.560	T	4.0
training.scd.561	T	4.0
training.scd.562	T	4.0
training.scd.563	T	4.0
training.scd.564	T	3.8
training.scd.565	T	4.0
training.scd.566	T	3.4
training.scd.567	T	3.8
training.scd.568	T	3.8
training.scd.569	T	3.8
training.scd.570	T	4.0
training.scd.571	T	4.0
training.scd.572	T	4.0
training.scd.573	T	4.0
training.scd.574	T	3.4
training.scd.575	T	4.0
training.scd.576	T	3.6
training.scd.577	T	3.4
training.scd.578	T	4.0
training.scd.579	T	3.4
training.scd.580	T	3.8
training.scd.581	T	3.4
training.scd.582	T	3.4
training.scd.583	T	3.4
training.scd.584	T	3.6
training.scd.585	T	3.6
training.scd.586	T	3.4
training.scd.587	F	1.0
training.scd.588	F	1.0
training.scd.589	F	1.0
training.scd.590	F	1.0
training.scd.591	T	3.2
training.scd.592	F	1.0
training.scd.593	T	4.0
training.scd.594	F	1.0
training.scd.595	F	1.0
training.scd.596	T	4.0
training.scd.597	T	4.0
training.scd.598	T	4.0
training.scd.599	F	1.0
training.scd.600	F	1.0
training.scd.601	F	1.6
training.scd.602	T	4.0
training.scd.603	F	1.2
training.scd.604	F	1.0
training.scd.605	F	1.0
training.scd.606	F	1.0
training.scd.607	F	1.2
training.scd.608	T	4.0
training.scd.609	T	3.8
training.scd.610	F	1.0
training.scd.611	F	1.0
training.scd.612	T	4.0
training.scd.613	F	1.0
training.scd.614	F	1.0
training.scd.615	F	1.0
training.scd.616	T	3.8
training.scd.617	F	1.0
training.scd.618	F	1.0
training.scd.619	F	1.2
training.scd.620	F	2.6
training.scd.621	F	2.6
training.scd.622	T	3.6
training.scd.623	F	1.0
training.scd.624	F	1.0
training.scd.625	F	1.0
training.scd.626	T	3.8
training.scd.627	T	4.0
training.scd.628	F	1.0
training.scd.629	T	4.0
training.scd.630	T	4.0
training.scd.631	T	4.0
training.scd.632	F	1.0
training.scd.633	T	4.0
training.scd.634	T	4.0
training.scd.635	T	4.0
training.scd.636	T	4.0
training.scd.637	T	3.6
training.scd.638	T	3.8
training.scd.639	T	3.6
training.scd.640	F	1.0
training.scd.641	T	3.0
training.scd.642	T	3.0
training.scd.643	F	1.0
training.scd.644	F	1.0
training.scd.645	F	1.0
training.scd.646	T	4.0
training.scd.647	T	4.0
training.scd.648	F	1.0
training.scd.649	T	4.0
training.scd.650	F	1.0
training.scd.651	F	1.0
training.scd.652	F	1.4
training.scd.653	T	4.0
training.scd.654	F	1.4
training.scd.655	F	1.4
training.scd.656	T	3.2
training.scd.657	T	3.6
training.scd.658	T	3.6
training.scd.659	F	2.2
training.scd.660	F	2.8
training.scd.661	T	3.6
training.scd.662	T	3.0
training.scd.663	F	1.2
training.scd.664	T	3.8
training.scd.665	T	3.2
training.scd.666	T	4.0
training.scd.667	T	3.4
training.scd.668	F	1.6
training.scd.669	T	3.0
training.scd.670	T	3.2
training.scd.671	F	1.2
training.scd.672	T	3.2
training.scd.673	T	3.8
training.scd.674	F	2.6
training.scd.675	F	2.8
training.scd.676	T	3.8
training.scd.677	T	4.0
training.scd.678	T	3.8
training.scd.679	T	3.8
training.scd.680	T	3.4
training.scd.681	T	4.0
training.scd.682	F	1.4
training.scd.683	T	4.0
training.scd.684	F	1.6
training.scd.685	T	3.8
training.scd.686	F	1.2
training.scd.687	T	4.0
training.scd.688	F	2.8
training.scd.689	T	3.6
training.scd.690	F	2.8
training.scd.691	F	1.0
training.scd.692	F	1.2
training.scd.693	F	1.6
training.scd.694	F	2.6
training.scd.695	F	1.6
training.scd.696	T	3.6
training.scd.697	F	2.4
training.scd.698	F	2.4
training.scd.699	F	2.6
training.scd.700	T	3.4
training.scd.701	T	3.8
training.scd.702	T	3.2
training.scd.703	T	3.4
training.scd.704	T	3.0
training.scd.705	T	3.2
training.scd.706	T	3.4
training.scd.707	F	1.0
training.scd.708	T	4.0
training.scd.709	F	1.0
training.scd.710	T	3.6
training.scd.711	F	1.4
training.scd.712	T	3.2
training.scd.713	T	4.0
training.scd.714	F	1.8
training.scd.715	F	2.2
training.scd.716	T	3.4
training.scd.717	T	3.2
training.scd.718	T	3.8
training.scd.719	T	3.0
training.scd.720	T	3.0
training.scd.721	T	3.0
training.scd.722	T	3.4
training.scd.723	F	2.8
training.scd.724	F	2.4
training.scd.725	F	1.6
training.scd.726	T	3.2
training.scd.727	T	3.2
training.scd.728	T	3.2
training.scd.729	T	3.2
training.scd.730	F	1.8
training.scd.731	T	3.2
training.scd.732	T	3.4
training.scd.733	T	3.0
training.scd.734	T	3.6
training.scd.735	F	1.4
training.scd.736	T	3.2
training.scd.737	T	3.6
training.scd.738	T	3.4
training.scd.739	T	3.4
training.scd.740	T	3.4
training.scd.741	T	3.2
training.scd.742	T	3.4
training.scd.743	F	2.2
training.scd.744	T	3.4
training.scd.745	T	3.2
training.scd.746	T	3.8
training.scd.747	T	4.0
training.scd.748	T	3.6
training.scd.749	F	2.4
training.scd.750	F	2.6
training.scd.751	F	2.6
training.scd.752	F	2.2
training.scd.753	T	3.4
training.scd.754	T	3.4
training.scd.755	F	2.2
training.scd.756	T	3.6
training.scd.757	T	4.0
training.scd.758	T	3.0
training.scd.759	T	3.0
training.scd.760	F	2.0
training.scd.761	T	3.4
training.scd.762	T	3.4
training.scd.763	F	2.8
training.scd.764	T	3.6
training.scd.765	T	3.4
training.scd.766	F	2.8
training.scd.767	T	3.4
training.scd.768	F	1.6
training.scd.769	T	3.0
training.scd.770	T	3.8
training.scd.771	F	2.2
training.scd.772	F	1.8
training.scd.773	T	3.4
training.scd.774	T	3.4
training.scd.775	T	3.2
training.scd.776	F	2.6
training.scd.777	T	3.6
training.scd.778	F	1.4
training.scd.779	T	3.8
training.scd.780	T	4.0
training.scd.781	T	4.0
training.scd.782	T	3.8
training.scd.783	T	4.0
training.scd.784	T	4.0
training.scd.785	T	3.2
training.scd.786	T	3.8
training.scd.787	T	4.0
training.scd.788	T	3.4
training.scd.789	T	4.0
training.scd.790	T	4.0
training.scd.791	T	3.4
training.scd.792	T	4.0
training.scd.793	T	3.6
training.scd.794	T	4.0
training.scd.795	T	4.0
training.scd.796	T	3.8
training.scd.797	T	4.0
training.scd.798	T	4.0
training.scd.799	T	3.6
training.scd.800	T	4.0
training.scd.801	F	2.4
training.scd.802	T	4.0
training.scd.803	T	3.8
training.scd.804	F	1.6
training.scd.805	T	4.0
training.scd.806	T	3.4
training.scd.807	F	1.0
training.scd.808	T	3.4
training.scd.809	T	4.0
training.scd.810	F	1.8
training.scd.811	T	4.0
training.scd.812	T	3.0
training.scd.813	T	3.8
training.scd.814	F	1.8
training.scd.815	T	4.0
training.scd.816	T	4.0
training.scd.817	T	4.0
training.scd.818	T	3.2
training.scd.819	T	3.6
training.scd.820	T	3.8
training.scd.821	T	3.8
training.scd.822	T	4.0
training.scd.823	T	4.0
training.scd.824	T	3.2
training.scd.825	F	1.2
training.scd.826	T	4.0
training.scd.827	F	1.0
training.scd.828	T	3.8
training.scd.829	T	4.0
training.scd.830	F	2.2
training.scd.831	T	4.0
training.scd.832	T	3.6
training.scd.833	T	3.6
training.scd.834	F	2.6
training.scd.835	T	3.8
training.scd.836	T	3.8
training.scd.837	T	3.2
training.scd.838	T	3.2
training.scd.839	T	4.0
training.scd.840	F	1.4
training.scd.841	F	1.0
training.scd.842	T	4.0
training.scd.843	T	3.8
training.scd.844	F	2.8
training.scd.845	T	4.0
training.scd.846	T	3.8
training.scd.847	T	3.8
training.scd.848	T	4.0
training.scd.849	F	2.8
training.scd.850	F	2.8
training.scd.851	T	3.2
training.scd.852	T	4.0
training.scd.853	T	3.8
training.scd.854	T	3.8
training.scd.855	F	1.0
training.scd.856	T	3.0
training.scd.857	T	4.0
training.scd.858	T	4.0
training.scd.859	T	3.8
training.scd.860	F	1.0
training.scd.861	F	1.6
training.scd.862	F	2.2
training.scd.863	F	2.4
training.scd.864	T	4.0
training.scd.865	F	1.0
training.scd.866	T	3.0
training.scd.867	F	1.0
training.scd.868	T	3.2
training.scd.869	T	3.6
training.scd.870	T	3.6
training.scd.871	T	4.0
training.scd.872	T	4.0
training.scd.873	T	3.2
training.scd.874	T	3.8
training.scd.875	F	2.8
training.scd.876	F	2.8
training.scd.877	T	3.6
training.scd.878	T	3.4
training.scd.879	T	4.0
training.scd.880	T	3.2
training.scd.881	T	3.2
training.scd.882	T	3.8
training.scd.883	T	3.8
training.scd.884	T	3.8
training.scd.885	T	3.4
training.scd.886	T	4.0
training.scd.887	F	2.4
training.scd.888	T	3.0
training.scd.889	T	3.8
training.scd.890	T	3.8
training.scd.891	F	1.0
training.scd.892	T	3.8
training.scd.893	T	3.2
training.scd.894	T	4.0
training.scd.895	T	3.8
training.scd.896	T	3.2
training.scd.897	T	3.8
training.scd.898	T	3.8
training.scd.899	T	3.8
training.scd.900	T	4.0
training.scd.901	T	4.0
training.scd.902	T	3.4
training.scd.903	F	2.4
training.scd.904	T	3.2
training.scd.905	F	1.0
training.scd.906	T	4.0
training.scd.907	T	4.0
training.scd.908	T	3.6
training.scd.909	T	3.2
training.scd.910	T	4.0
training.scd.911	T	3.2
training.scd.912	T	4.0
training.scd.913	T	3.8
training.scd.914	T	3.4
training.scd.915	T	3.6
training.scd.916	T	3.4
training.scd.917	T	4.0
training.scd.918	T	3.8
training.scd.919	T	4.0
training.scd.920	T	4.0
training.scd.921	T	3.4
training.scd.922	F	2.4
training.scd.923	T	4.0
training.scd.924	F	2.4
training.scd.925	T	3.8
training.scd.926	F	2.8
training.scd.927	T	3.6
training.scd.928	T	3.6
training.scd.929	T	4.0
training.scd.930	T	3.8
training.scd.931	F	2.8
training.scd.932	T	3.2
training.scd.933	F	2.2
training.scd.934	T	3.8
training.scd.935	T	4.0
training.scd.936	T	4.0
training.scd.937	T	3.6
training.scd.938	T	3.8
training.scd.939	F	2.8
training.scd.940	T	3.4
training.scd.941	T	3.2
training.scd.942	T	3.2
training.scd.943	T	3.6
training.scd.944	F	2.8
training.scd.945	F	2.8
training.scd.946	T	3.8
training.scd.947	T	3.8
training.scd.948	T	3.0
training.scd.949	F	2.2
training.scd.950	F	2.2
training.scd.951	T	4.0
training.scd.952	T	3.4
training.scd.953	T	3.0
training.scd.954	T	3.0
training.scd.955	T	4.0
training.scd.956	T	4.0
training.scd.957	T	3.2
training.scd.958	T	3.2
training.scd.959	T	3.6
training.scd.960	F	2.8
training.scd.961	T	3.6
training.scd.962	T	4.0
training.scd.963	T	4.0
training.scd.964	F	2.6
training.scd.965	T	3.0
training.scd.966	T	3.6
training.scd.967	T	3.2
training.scd.968	T	4.0
training.scd.969	T	3.2
training.scd.970	F	2.8
training.scd.971	T	3.6
training.scd.972	T	3.6
training.scd.973	F	1.0
training.scd.974	F	2.8
training.scd.975	F	2.6
training.scd.976	T	3.8
training.scd.977	T	3.8
training.scd.978	F	1.0
training.scd.979	F	1.0
training.scd.980	T	3.2
training.scd.981	F	1.0
training.scd.982	F	1.0
training.scd.983	F	1.0
training.scd.984	F	1.0
training.scd.985	T	3.4
training.scd.986	T	3.4
training.scd.987	F	1.0
training.scd.988	F	2.2
training.scd.989	F	2.4
training.scd.990	F	2.4
training.scd.991	F	2.6
training.scd.992	F	2.6
training.scd.993	F	2.4
training.scd.994	F	2.0
training.scd.995	F	2.0
training.scd.996	F	1.8
training.scd.997	F	2.2
training.scd.998	F	1.4
training.scd.999	F	2.4
training.scd.1000	F	1.0
training.scd.1001	F	1.0
training.scd.1002	F	1.8
training.scd.1003	F	2.0
training.scd.1004	F	1.2
training.scd.1005	F	1.0
training.scd.1006	T	3.4
training.scd.1007	F	1.0
training.scd.1008	F	2.0
training.scd.1009	F	1.4
training.scd.1010	F	1.0
training.scd.1011	F	1.0
training.scd.1012	T	3.0
training.scd.1013	F	1.6
training.scd.1014	F	1.8
training.scd.1015	F	2.2
training.scd.1016	F	1.8
training.scd.1017	F	2.2
training.scd.1018	T	3.2
training.scd.1019	F	2.0
training.scd.1020	F	1.6
training.scd.1021	F	1.2
training.scd.1022	F	1.4
training.scd.1023	F	1.4
training.scd.1024	F	2.0
training.scd.1025	T	3.2
training.scd.1026	F	2.0
training.scd.1027	T	3.2
training.scd.1028	T	3.2
training.scd.1029	F	1.0
training.scd.1030	F	1.0
training.scd.1031	T	3.8
training.scd.1032	F	2.0
training.scd.1033	T	3.0
training.scd.1034	F	2.8
training.scd.1035	F	2.0
training.scd.1036	F	1.0
training.scd.1037	T	4.0
training.scd.1038	F	1.8
training.scd.1039	T	3.6
training.scd.1040	T	3.6
training.scd.1041	F	2.6
training.scd.1042	F	2.4
training.scd.1043	T	3.2
training.scd.1044	T	4.0
training.scd.1045	T	4.0
training.scd.1046	T	4.0
training.scd.1047	T	3.8
training.scd.1048	T	4.0
training.scd.1049	T	4.0
training.scd.1050	T	4.0
training.scd.1051	F	2.8
training.scd.1052	F	2.0
training.scd.1053	F	2.0
training.scd.1054	F	2.0
training.scd.1055	F	2.0
training.scd.1056	F	1.0
training.scd.1057	F	1.0
training.scd.1058	F	1.8
training.scd.1059	T	3.0
training.scd.1060	F	1.2
training.scd.1061	F	1.6
training.scd.1062	F	1.6
training.scd.1063	F	2.2
training.scd.1064	F	2.2
training.scd.1065	F	1.6
training.scd.1066	F	1.0
training.scd.1067	F	2.6
training.scd.1068	F	1.6
training.scd.1069	F	1.6
